folder_name,audio_name,audio_url,github_audio_url,cdnjs_url,status
abather-alhalwaji/,dua-salman-alfarsi,https://www.shiasource.com/wp-content/uploads/2018/10/alhalawaji_duaa_salman_alfarsi.mp3,,,error: 404 Client Error: Not Found for url: https://www.shiasource.com/wp-content/uploads/2018/10/alhalawaji_duaa_salman_alfarsi.mp3
abdulhai-qambar/,munajat-shabaaniya,https://www.shiasource.com/wp-content/uploads/2019/04/qambar_munajat_shabaaniya.mp3,,,error: 404 Client Error: Not Found for url: https://www.shiasource.com/wp-content/uploads/2019/04/qambar_munajat_shabaaniya.mp3
abdulhai-qambar/,dua-arafah,https://www.shiasource.com/wp-content/uploads/2018/08/aalqambar_duaa_arafah.mp3,,,error: 404 Client Error: Not Found for url: https://www.shiasource.com/wp-content/uploads/2018/08/aalqambar_duaa_arafah.mp3
hussain-al-akraf/,dua-arafah,https://www.shiasource.com/wp-content/uploads/2018/08/alakraf_duaa_arafah.mp3,,,error: 404 Client Error: Not Found for url: https://www.shiasource.com/wp-content/uploads/2018/08/alakraf_duaa_arafah.mp3
musa-al-asadi/,dua-arafah,https://www.shiasource.com/wp-content/uploads/2018/08/alasadi_duaa_arafah.mp3,,,error: 404 Client Error: Not Found for url: https://www.shiasource.com/wp-content/uploads/2018/08/alasadi_duaa_arafah.mp3
hussain-ghrayib/,dua-arafah,https://www.shiasource.com/wp-content/uploads/2018/08/ghrayib_duaa_arafah.mp3,,,error: 404 Client Error: Not Found for url: https://www.shiasource.com/wp-content/uploads/2018/08/ghrayib_duaa_arafah.mp3
ali-hamade/,dua-arafah,https://www.shiasource.com/wp-content/uploads/2018/08/hamadi_duaa_arafah.mp3,,,error: 404 Client Error: Not Found for url: https://www.shiasource.com/wp-content/uploads/2018/08/hamadi_duaa_arafah.mp3
mahdi-sidqi/,dua-arafah,https://www.shiasource.com/wp-content/uploads/2018/08/sidqi_duaa_arafah.mp3,,,error: 404 Client Error: Not Found for url: https://www.shiasource.com/wp-content/uploads/2018/08/sidqi_duaa_arafah.mp3
hussain-ghrayib/daily-dua/,sunday,https://www.shiasource.com/wp-content/uploads/2018/08/ghrayib_daily_duaa_sunday.mp3,,,error: 404 Client Error: Not Found for url: https://www.shiasource.com/wp-content/uploads/2018/08/ghrayib_daily_duaa_sunday.mp3
hussain-ghrayib/daily-dua/,monday,https://www.shiasource.com/wp-content/uploads/2018/08/ghrayib_daily_duaa_monday.mp3,,,error: 404 Client Error: Not Found for url: https://www.shiasource.com/wp-content/uploads/2018/08/ghrayib_daily_duaa_monday.mp3
hussain-ghrayib/daily-dua/,tuesday,https://www.shiasource.com/wp-content/uploads/2018/08/ghrayib_daily_duaa_tuesday.mp3,,,error: 404 Client Error: Not Found for url: https://www.shiasource.com/wp-content/uploads/2018/08/ghrayib_daily_duaa_tuesday.mp3
hussain-ghrayib/daily-dua/,wednesday,https://www.shiasource.com/wp-content/uploads/2018/08/ghrayib_daily_duaa_wednesday.mp3,,,error: 404 Client Error: Not Found for url: https://www.shiasource.com/wp-content/uploads/2018/08/ghrayib_daily_duaa_wednesday.mp3
hussain-ghrayib/daily-dua/,thursday,https://www.shiasource.com/wp-content/uploads/2018/08/ghrayib_daily_duaa_thursday.mp3,,,error: 404 Client Error: Not Found for url: https://www.shiasource.com/wp-content/uploads/2018/08/ghrayib_daily_duaa_thursday.mp3
hussain-ghrayib/daily-dua/,friday,https://www.shiasource.com/wp-content/uploads/2018/08/ghrayib_daily_duaa_friday.mp3,,,error: 404 Client Error: Not Found for url: https://www.shiasource.com/wp-content/uploads/2018/08/ghrayib_daily_duaa_friday.mp3
